label,id,lat,lon,
World Trade Center,E01N,40.712582,-74.009781
Canal St,A34N,40.720824,-74.005229
Spring St,A33N,40.726227,-74.003739
W 4 St-Wash Sq,A32N,40.732338,-74.000495
14 St,A31N,40.740893,-74.00169
23 St,A30N,40.745906,-73.998041
34 St-Penn Station,A28N,40.752287,-73.993391
42 St-Port Authority Bus Terminal,A27N,40.757308,-73.989735
50 St,A25N,40.762456,-73.985984
7 Av,D14N,40.762862,-73.981637
5 Av/53 St,F12N,40.760167,-73.975224
Lexington Av/53 St,F11N,40.757552,-73.969055
Court Sq-23 St,F09N,40.747846,-73.946
Queens Plaza,G21N,40.748973,-73.937243
36 St,G20N,40.752039,-73.928781
Steinway St,G19N,40.756879,-73.92074
46 St,G18N,40.756312,-73.913333
Northern Blvd,G16N,40.752885,-73.906006
65 St,G15N,40.749669,-73.898453
Jackson Hts-Roosevelt Av,G14N,40.746644,-73.891338
Elmhurst Av,G13N,40.742454,-73.882017
Grand Av-Newtown,G12N,40.737015,-73.877223
Woodhaven Blvd,G11N,40.733106,-73.869229
63 Dr-Rego Park,G10N,40.729846,-73.861604
67 Av,G09N,40.726523,-73.852719
Forest Hills-71 Av,G08N,40.721691,-73.844521
75 Av,F07N,40.718331,-73.837324
Kew Gardens-Union Tpke,F06N,40.714441,-73.831008
Briarwood,F05N,40.709179,-73.820574
Jamaica-Van Wyck,G07N,40.702566,-73.816859
Sutphin Blvd-Archer Av-JFK Airport,G06N,40.700486,-73.807969
Jamaica Center-Parsons/Archer,G05N,40.702147,-73.801109
Parsons Blvd,F03N,40.707564,-73.803326
Jamaica-179 St,F01N,40.712646,-73.783817
Sutphin Blvd,F04N,40.70546,-73.810708
169 St,F02N,40.71047,-73.793604
